Well,PlateID,Cytokine,Donor_ID,Sample,PreTreatment,Stim,Stim_Conc,Timepoint,Final_Concentration_pg_mL,Within_Range
C7,P2,TNF,Donor_1,Donor_1_IL-6_LPS,IL-6,LPS,1,20h,785.89,Above ULOQ
C8,P2,TNF,Donor_1,Donor_1_IL-23_LPS,IL-23,LPS,1,20h,27.19,Within Range
C9,P2,TNF,Donor_1,Donor_1_IFNa+TNF_LPS,IFNa+TNF,LPS,1,20h,209.66,Within Range
C10,P2,TNF,Donor_1,Donor_1_Unstim_dup_LPS,Unstim_dup,LPS,1,20h,558.66,Above ULOQ
C11,P2,TNF,Donor_1,Donor_1_R848_dup_LPS,R848_dup,LPS,1,20h,41.28,Within Range
C12,P2,TNF,Donor_1,Donor_1_LPS_dup_LPS,LPS_dup,LPS,1,20h,195.63,Within Range
D1,P2,TNF,Donor_1,Donor_1_Untreated_R848,Untreated,R848,500,20h,196.53,Within Range
D2,P2,TNF,Donor_1,Donor_1_IFNa_R848,IFNa,R848,500,20h,560.14,Above ULOQ
D3,P2,TNF,Donor_1,Donor_1_IFNb_R848,IFNb,R848,500,20h,246.2,Within Range
D4,P2,TNF,Donor_1,Donor_1_IFNg_R848,IFNg,R848,500,20h,471.52,Above ULOQ
D5,P2,TNF,Donor_1,Donor_1_TNF_R848,TNF,R848,500,20h,102.08,Within Range
D6,P2,TNF,Donor_1,Donor_1_IL-1b_R848,IL-1b,R848,500,20h,95.19,Within Range
D7,P2,TNF,Donor_1,Donor_1_IL-6_R848,IL-6,R848,500,20h,637.82,Above ULOQ
D8,P2,TNF,Donor_1,Donor_1_IL-23_R848,IL-23,R848,500,20h,240.79,Within Range
D9,P2,TNF,Donor_1,Donor_1_IFNa+TNF_R848,IFNa+TNF,R848,500,20h,209.75,Within Range
D10,P2,TNF,Donor_1,Donor_1_Unstim_dup_R848,Unstim_dup,R848,500,20h,117.34,Within Range
D11,P2,TNF,Donor_1,Donor_1_R848_dup_R848,R848_dup,R848,500,20h,241.89,Within Range
D12,P2,TNF,Donor_1,Donor_1_LPS_dup_R848,LPS_dup,R848,500,20h,204.93,Within Range
E1,P2,TNF,Donor_2,Donor_2_Untreated_Unstim,Untreated,Unstim,0,20h,0.48,Below LLOD
E2,P2,TNF,Donor_2,Donor_2_IFNa_Unstim,IFNa,Unstim,0,20h,0.73,Below LLOD
E3,P2,TNF,Donor_2,Donor_2_IFNb_Unstim,IFNb,Unstim,0,20h,0.85,Below LLOD
E4,P2,TNF,Donor_2,Donor_2_IFNg_Unstim,IFNg,Unstim,0,20h,1.35,Between LLOD and LLOQ
E5,P2,TNF,Donor_2,Donor_2_TNF_Unstim,TNF,Unstim,0,20h,1.98,Between LLOD and LLOQ
E6,P2,TNF,Donor_2,Donor_2_IL-1b_Unstim,IL-1b,Unstim,0,20h,0.61,Below LLOD
E7,P2,TNF,Donor_2,Donor_2_IL-6_Unstim,IL-6,Unstim,0,20h,0.03,Below LLOD
E8,P2,TNF,Donor_2,Donor_2_IL-23_Unstim,IL-23,Unstim,0,20h,1.73,Between LLOD and LLOQ
E9,P2,TNF,Donor_2,Donor_2_IFNa+TNF_Unstim,IFNa+TNF,Unstim,0,20h,0.8,Below LLOD
E10,P2,TNF,Donor_2,Donor_2_Unstim_dup_Unstim,Unstim_dup,Unstim,0,20h,0.88,Below LLOD
E11,P2,TNF,Donor_2,Donor_2_R848_dup_Unstim,R848_dup,Unstim,0,20h,2.11,Between LLOD and LLOQ
E12,P2,TNF,Donor_2,Donor_2_LPS_dup_Unstim,LPS_dup,Unstim,0,20h,0.95,Below LLOD
F1,P2,TNF,Donor_2,Donor_2_Untreated_LPS,Untreated,LPS,1,20h,3.88,Between LLOD and LLOQ
F2,P2,TNF,Donor_2,Donor_2_IFNa_LPS,IFNa,LPS,1,20h,232.29,Within Range
F3,P2,TNF,Donor_2,Donor_2_IFNb_LPS,IFNb,LPS,1,20h,200.85,Within Range
F4,P2,TNF,Donor_2,Donor_2_IFNg_LPS,IFNg,LPS,1,20h,242.02,Within Range
F5,P2,TNF,Donor_2,Donor_2_TNF_LPS,TNF,LPS,1,20h,1.89,Between LLOD and LLOQ
F6,P2,TNF,Donor_2,Donor_2_IL-1b_LPS,IL-1b,LPS,1,20h,105.74,Within Range
F7,P2,TNF,Donor_2,Donor_2_IL-6_LPS,IL-6,LPS,1,20h,152.51,Within Range
F8,P2,TNF,Donor_2,Donor_2_IL-23_LPS,IL-23,LPS,1,20h,139.14,Within Range
F9,P2,TNF,Donor_2,Donor_2_IFNa+TNF_LPS,IFNa+TNF,LPS,1,20h,112.62,Within Range
F10,P2,TNF,Donor_2,Donor_2_Unstim_dup_LPS,Unstim_dup,LPS,1,20h,95.86,Within Range
F11,P2,TNF,Donor_2,Donor_2_R848_dup_LPS,R848_dup,LPS,1,20h,53.78,Within Range
F12,P2,TNF,Donor_2,Donor_2_LPS_dup_LPS,LPS_dup,LPS,1,20h,53.48,Within Range
G1,P2,TNF,Donor_2,Donor_2_Untreated_R848,Untreated,R848,500,20h,194.11,Within Range
G2,P2,TNF,Donor_2,Donor_2_IFNa_R848,IFNa,R848,500,20h,65.85,Within Range
G3,P2,TNF,Donor_2,Donor_2_IFNb_R848,IFNb,R848,500,20h,185.28,Within Range
G4,P2,TNF,Donor_2,Donor_2_IFNg_R848,IFNg,R848,500,20h,533.62,Above ULOQ
G5,P2,TNF,Donor_2,Donor_2_TNF_R848,TNF,R848,500,20h,38.62,Within Range
G6,P2,TNF,Donor_2,Donor_2_IL-1b_R848,IL-1b,R848,500,20h,68.46,Within Range
G7,P2,TNF,Donor_2,Donor_2_IL-6_R848,IL-6,R848,500,20h,18.32,Within Range
G8,P2,TNF,Donor_2,Donor_2_IL-23_R848,IL-23,R848,500,20h,79.46,Within Range
G9,P2,TNF,Donor_2,Donor_2_IFNa+TNF_R848,IFNa+TNF,R848,500,20h,543.68,Above ULOQ
G10,P2,TNF,Donor_2,Donor_2_Unstim_dup_R848,Unstim_dup,R848,500,20h,44.68,Within Range
G11,P2,TNF,Donor_2,Donor_2_R848_dup_R848,R848_dup,R848,500,20h,521.81,Above ULOQ
G12,P2,TNF,Donor_2,Donor_2_LPS_dup_R848,LPS_dup,R848,500,20h,550.92,Above ULOQ
H1,P2,TNF,Donor_1,Donor_1_Untreated_R848,Untreated,R848,500,20h,118.51,Within Range
H2,P2,TNF,Donor_1,Donor_1_IFNa_R848,IFNa,R848,500,20h,27.07,Within Range
H3,P2,TNF,Donor_1,Donor_1_IFNb_R848,IFNb,R848,500,20h,517.21,Above ULOQ
H4,P2,TNF,Donor_1,Donor_1_IFNg_R848,IFNg,R848,500,20h,490.25,Above ULOQ
H5,P2,TNF,Donor_1,Donor_1_TNF_R848,TNF,R848,500,20h,162.92,Within Range
H6,P2,TNF,Donor_1,Donor_1_IL-1b_R848,IL-1b,R848,500,20h,50.06,Within Range
H7,P2,TNF,Donor_1,Donor_1_IL-6_R848,IL-6,R848,500,20h,86.4,Within Range
H8,P2,TNF,Donor_1,Donor_1_IL-23_R848,IL-23,R848,500,20h,391.46,Above ULOQ
H9,P2,TNF,Donor_1,Donor_1_IFNa+TNF_R848,IFNa+TNF,R848,500,20h,562.21,Above ULOQ
H10,P2,TNF,Donor_1,Donor_1_Unstim_dup_R848,Unstim_dup,R848,500,20h,428.99,Above ULOQ
H11,P2,TNF,Donor_1,Donor_1_R848_dup_R848,R848_dup,R848,500,20h,120.87,Within Range
H12,P2,TNF,Donor_1,Donor_1_LPS_dup_R848,LPS_dup,R848,500,20h,217.14,Within Range
